raw_name,canonical_name,product_id
Торбичка Кауфланд,Торбичка Кауфланд,1
"Торбичка Кауфланд, ч",Торбичка Кауфланд,1
Закуска с клен.сироп,Закуска с клен.сироп,2
"Devin 1,8 Мултипак","Devin 1,8 Мултипак",3
Кроасан нуга,Кроасан нуга 90г,4
Кроасан нуга 90г,Кроасан нуга 90г,4
"Olympus Био ПМ 3,7%","Olympus Био ПМ 3,7%",5
Olympus Цедено10%350,Olympus Цедено10%350,6
Активиа натур.280г,Активиа натур.280г,7
"Балкан Био КМ 3,6%","Балкан Био КМ 3,6%",8
"Perrier вода 0,33л","Perrier вода 0,33л",9
Балкан БиоКМ 2% 400г,Балкан БиоКМ 2% 400г,10
"Ведраре КМ 3,6% 400г","Ведраре КМ 3,6% 400г",11
Хляб добруджа350гр,Хляб добруджа350гр,12
"Ест.Газ Вода 0,5л","Ест.Газ Вода 0,5л",13
Хляб пшеничен400,Хляб пшеничен400,14
Amadori Цяло пиле,Amadori Цяло пиле,15
KLC салам за багети,KLC салам за багети,16
K-Bio Банани кг,Банани (кг),17
Банани (кг),Банани (кг),17
"Olympus ПМ 3,7% 1л","Olympus ПМ 3,7% 1л",18
Qualita Rossa250гр,Qualita Rossa250гр,19
"Olympus ПМ 3,7% 1,5л","Olympus ПМ 3,7% 1,5л",20
КОКО Био Яйца L6,КОКО Био Яйца М6,21
КОКО Био Яйца М6,КОКО Био Яйца М6,21
Мляно месо смес 500г,Мляно месо смес 500г,22
Паста Микс Макс 350г,Паста Микс Милк 350г,23
Паста Микс Милк 350г,Паста Микс Милк 350г,23
Arla КС натурално,Arla КС натурално,24
Coca Cola 0.33 l,Coca Cola 0.33 l,25
Брей! Копър,Брей! Копър,26
Брей! Лук зелен,Брей! Лук зелен,27
"Девин вода 1,5л 6бр","Девин вода 1,5л 6бр",28
"Ест.Газ вода 1,5л","Ест.Газ вода 1,5л",29
Zewa кърпи за лице,Кърпи за лице,30
bev кърпи за лице,Кърпи за лице,30
Кърпи за лице,Кърпи за лице,30
Моркови кг,Моркови кг,31
Закуска бискв.315г,Закуска бискв.315г,32
Краставици (кг),Краставици (кг),33
Селски краставици1кг,Краставици (кг),33
"Михалково 1,5л","Михалково 1,5л",34
"CR пил. бут жълт,кг","CR пил. бут жълт,кг",35
KLC кух. хартия,KLC кух. хартия,36
KLC т.хартия,KLC кух. хартия,36
KLC печена шунка,KLC печена шунка,37
Био краставица,Био краставица,38
Брей! Магданоз,Брей! Магданоз,39
Багета бяла 110г,Бяла багета 110гр,40
Багета бяла 110гр,Бяла багета 110гр,40
Бяла багета 110гр,Бяла багета 110гр,40
Кроасан нуга 80г,Кроасан нуга 80г,41
Саяна Био КМ,Саяна Био КМ,42
"Coca Cola 0,5 л","Coca Cola 0,5 л",43
Coca Cola 5+1,"Coca Cola 0,5 л",43
"Coca Cola Zero0,5л","Coca Cola 0,5 л",43
Кашкавалка 120 г,Кашкавалка 120 г,44
Кашкавалка 120г,Кашкавалка 120 г,44
Кроасан с ягода 90г,Кроасан с ягода 90г,45
Кроасан ягода,Кроасан с ягода 90г,45
Круши Конференс кг,Круши Конференс кг,46
CR пил. филе жълто,CR пил. филе жълто,47
Chio Stickletti 100г,Chio Stickletti 100г,48
KLC.Варена.шунка,KLC.Варена.шунка,49
L&B Салфетки,L&B Салфетки,50
L&B.Салфетки,L&B Салфетки,50
Салфетки,L&B Салфетки,50
Брей! Репички,Брей! Репички,51
Кабаноси 120г,Кабаноси 120г,52
Картофи сладки,Картофи сладки,53
Краставица фол. бр,Краставица фол. бр,54
Ягоди 250 г бр,Ягоди 250 г бр,55
Ягоди 250г бр,Ягоди 250 г бр,55
Arla кр.сирене,Arla кр.сирене,56
