product_id,canonical_name,display_name,brand,category,in_basket
1,Торбичка Кауфланд,,Кауфланд,Дом и бит,
2,Закуска с клен.сироп,,Закуска,Хляб и тестени,
3,"Devin 1,8 Мултипак",,Devin,,
4,Кроасан нуга 90г,,,Хляб и тестени,
5,"Olympus Био ПМ 3,7%","Olympus Био прясно мляко 3,7%",Olympus,Мляко и млечни,1
6,Olympus Цедено10%350,,Olympus,Мляко и млечни,
7,Активиа натур.280г,,Активиа,,
8,"Балкан Био КМ 3,6%","Балкан Био кисело мляко 3,6%",Балкан,Мляко и млечни,1
9,"Perrier вода 0,33л",,Perrier,Вода,
10,Балкан БиоКМ 2% 400г,Балкан Био кисело мляко 2% 400г,Балкан,Мляко и млечни,1
11,"Ведраре КМ 3,6% 400г","Ведраре кисело мляко 3,6% 400г",Ведраре,Мляко и млечни,1
12,Хляб добруджа350гр,,Добруджа,Хляб и тестени,
13,"Ест.Газ Вода 0,5л",,Ест,Вода,
14,Хляб пшеничен400,,,Хляб и тестени,
15,Amadori Цяло пиле,,Amadori,Месо и колбаси,
16,KLC салам за багети,,KLC,Месо и колбаси,
17,Банани (кг),,,Плодове и зеленчуци,
18,"Olympus ПМ 3,7% 1л","Olympus прясно мляко 3,7% 1л",Olympus,Мляко и млечни,1
19,Qualita Rossa250гр,,Qualita,,
20,"Olympus ПМ 3,7% 1,5л","Olympus прясно мляко 3,7% 1,5л",Olympus,Мляко и млечни,1
21,КОКО Био Яйца М6,,Коко,Яйца,
22,Мляно месо смес 500г,,,Месо и колбаси,
23,Паста Микс Милк 350г,,,Хляб и тестени,
24,Arla КС натурално,,Arla,,
25,Coca Cola 0.33 l,,Coca cola,Напитки,
26,Брей! Копър,,Брей,Плодове и зеленчуци,
27,Брей! Лук зелен,,Брей,Плодове и зеленчуци,
28,"Девин вода 1,5л 6бр",,Девин,Вода,
29,"Ест.Газ вода 1,5л",,Ест,Вода,
30,Кърпи за лице,,Кърпи,,
31,Моркови кг,,,Плодове и зеленчуци,
32,Закуска бискв.315г,,Закуска,Хляб и тестени,
33,Краставици (кг),,,Плодове и зеленчуци,
34,"Михалково 1,5л",,Михалково,,
35,"CR пил. бут жълт,кг",,CR,Месо и колбаси,
36,KLC кух. хартия,,KLC,Дом и бит,
37,KLC печена шунка,,KLC,Месо и колбаси,
38,Био краставица,,,Плодове и зеленчуци,
39,Брей! Магданоз,,Брей,Плодове и зеленчуци,
40,Бяла багета 110гр,,Бяла,Хляб и тестени,
41,Кроасан нуга 80г,,,Хляб и тестени,
42,Саяна Био КМ,Саяна Био кисело мляко,Саяна,Мляко и млечни,1
43,"Coca Cola 0,5 л",,Coca cola,Напитки,
44,Кашкавалка 120 г,,Кашкавалка,Сирене и кашкавал,
45,Кроасан с ягода 90г,,,Хляб и тестени,
46,Круши Конференс кг,,,Плодове и зеленчуци,
47,CR пил. филе жълто,,CR,Месо и колбаси,
48,Chio Stickletti 100г,,Chio,Захарни и снакс,
49,KLC.Варена.шунка,,KLC,Месо и колбаси,
50,L&B Салфетки,,L&B,Дом и бит,
51,Брей! Репички,,Брей,Плодове и зеленчуци,
52,Кабаноси 120г,,Кабаноси,Месо и колбаси,
53,Картофи сладки,,,Плодове и зеленчуци,
54,Краставица фол. бр,,Краставица,Плодове и зеленчуци,
55,Ягоди 250 г бр,,,Плодове и зеленчуци,
56,Arla кр.сирене,,Arla,Сирене и кашкавал,
57,DM МаслоКраварка250,,DM,Мляко и млечни,
58,Devin Изв. вода 1л,,Devin,Вода,
59,Боженци кис.мляко 4%,,Боженци,Мляко и млечни,
60,Боровец Кексче 30г,,Боровец,Захарни и снакс,
61,Боровинки 125 гр,,,Плодове и зеленчуци,1
62,Кабаноси птиче,,Кабаноси,Месо и колбаси,
63,Картофи пресни кг,,,Плодове и зеленчуци,
64,Лук жълт кг.,,,Плодове и зеленчуци,
65,Маджар.Каш.380г.БДС,,Маджар,Сирене и кашкавал,
